X_Minimum,X_Maximum,Y_Minimum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas,Defect_Type,Steel_Type
584,590,909972,909977,16,8,5,2274,113,140,1358,50,0.7393,0.4,0.5,0.0059,1.0,1.0,0.0,1.2041,0.9031,0.699,-0.5,-0.0104,0.1417,Stains,A400
39,192,2212076,2212144,11388,705,420,1311391,29,141,1400,40,0.0557,0.5282,0.9895,0.1077,0.2363,0.3857,0.0,4.0564,2.179,2.2095,-0.0105,-0.0944,1.0,K_Scatch,A400
781,789,3353146,3353173,210,16,29,3202,114,134,1387,40,0.7202,0.3333,0.3333,0.0044,0.375,0.931,1.0,2.3222,0.7782,1.4314,0.6667,-0.0402,0.4025,K_Scatch,A400
596,607,739072,7390760,204,21,21,22478,89,127,1373,40,0.8331,0.2744,0.6842,0.011,0.7143,1.0,1.0,2.3096,1.1761,1.3222,0.3158,-0.1497,0.5212,Bumps,A400
1673,1687,294065,294091,571,38,57,53142,77,110,1692,300,0.1491,0.4326,0.9643,0.0142,0.5686,0.7179,1.0,2.7528,1.3802,1.7559,0.0357,-0.2661,0.9408,Pastry,A400
893,907,1341292,1341296,54,6,15,7052,87,133,1687,60,0.8088,0.2,0.5333,0.0037,0.8333,1.0,1.0,1.7324,0.699,1.1761,0.4667,-0.1228,0.14,Bumps,A300
1122,1133,618457,618502,289,37,42,32358,84,127,1360,175,0.3187,0.5245,0.8824,0.0125,0.3778,0.6667,1.0,2.4609,1.2305,1.4472,0.1177,-0.2313,0.8705,Bumps,A400
39,220,1835934,1836000,6644,302,136,689961,40,124,1356,40,0.0574,0.4571,0.4124,0.1333,0.5662,0.4853,0.0,3.8224,2.2577,1.8195,-0.5876,-0.1891,1.0,K_Scatch,A400
1,250,4383724,4383803,25473,865,536,2529140,25,143,1398,40,0.0,0.494,0.88,0.1723,0.2268,0.3511,0.0,4.3868,2.3747,2.2833,-0.12,-0.0717,1.0,K_Scatch,A400
41,197,2315017,2315086,11813,626,387,1302540,33,141,1402,40,0.0556,0.5908,0.8968,0.1127,0.2428,0.4189,0.0,4.0724,2.1847,2.1732,-0.1032,-0.0899,1.0,K_Scatch,A400
833,842,2702154,2702164,67,10,10,7391,82,132,1362,40,0.7338,0.3,0.9,0.0066,0.9,1.0,1.0,1.8261,0.9542,1.0,0.1,-0.1807,0.1954,Bumps,A400
545,583,3980733,3980769,979,131,91,118187,107,132,1364,40,0.5196,0.4768,0.5786,0.0704,0.6389,0.5714,0.0,2.9908,1.6812,1.9085,-0.4214,-0.0968,1.0,Bumps,A400
1230,1244,3020344,3020360,89,20,16,8586,97,125,1652,70,0.7599,0.4208,0.6429,0.0071,0.7083,0.9375,1.0,1.9494,1.0792,1.1461,0.3571,-0.154,0.2359,Bumps,A300
1538,1549,849219,849235,275,19,32,28986,71,117,1626,70,0.1494,0.399,0.375,0.0088,0.6316,1.0,1.0,2.4393,1.0792,1.5051,0.625,-0.2988,0.633,Pastry,A300
39,222,979651,979800,17810,745,463,2094532,25,143,1398,40,0.0558,0.509,0.9143,0.133,0.2403,0.3218,0.0,4.2507,2.2529,2.2095,-0.0857,-0.0843,1.0,K_Scatch,A400
243,370,463001,462989,1834,192,124,201109,115,132,1360,40,0.2835,0.7061,0.6333,0.0553,0.3304,0.6719,1.0,3.2601,1.8751,1.8865,0.3667,-0.0572,1.0,K_Scatch,A400
41,192,1636571,1636729,13057,626,453,1507763,33,141,1402,40,0.0585,0.4831,0.9639,0.1077,0.2422,0.3642,1.0,4.1177,2.179,2.2227,0.0361,-0.0935,1.0,K_Scatch,A400
933,940,7307792,7307792,12,6,4,1504,110,134,1358,50,0.6471,0.55,1.0,0.0044,1.0,1.0,0.5,1.0792,0.7782,0.6021,0.0,-0.084,0.1361,Stains,A400
1310,1316,435871,435916,153,16,32,17101,104,132,1352,40,0.0532,0.3854,0.3333,0.0044,0.375,0.9688,1.0,2.1847,0.7782,1.5051,0.6667,-0.0916,0.4025,Pastry,A400
1324,1333,2378173,2378236,659,61,91,60260,89,140,1356,40,0.0862,0.4622,0.0962,0.0074,0.3111,0.8868,1.0,2.8048,1.0,1.9445,0.9039,-0.1849,0.99,K_Scatch,A400
41,210,2829521,2829590,6276,252,138,647595,43,125,1356,70,0.0605,0.4401,0.3954,0.1268,0.6693,0.5,0.0,3.7958,2.2355,1.8451,-0.6047,-0.1888,1.0,K_Scatch,A300
525,585,75115,75122,155,20,21,15572,97,119,1354,70,0.7778,0.2546,0.9375,0.011,0.75,1.0,1.0,2.1903,1.1761,1.3222,0.0625,-0.1485,0.3977,Z_Scratch,A300
505,522,3787187,3787204,114,12,13,13135,109,132,1360,40,0.7426,0.3222,0.7647,0.0052,0.5833,1.0,1.0,2.0569,0.8451,1.1139,0.2353,-0.076,0.2739,Bumps,A400
41,215,1221106,1221276,16220,696,480,1976551,28,143,1402,40,0.0585,0.5019,0.8841,0.1285,0.2629,0.3857,0.0,4.2101,2.2406,2.233,-0.1159,-0.0899,1.0,K_Scatch,A400
1065,1084,1593115,1593120,133,33,31,16571,103,132,1360,175,0.4595,0.6414,0.5,0.0147,0.6452,0.5385,0.0,2.1239,1.301,1.2553,-0.5,-0.078,0.8299,Z_Scratch,A400
1078,1098,1757997,1758011,133,25,15,14830,100,132,1368,80,0.4106,0.2051,0.7895,0.015,0.76,1.0,0.0,2.1239,1.2787,1.1461,-0.2105,-0.1098,0.374,Bumps,A300
387,403,1215744,1215749,125,17,13,16692,70,127,1690,70,0.4564,0.5714,0.8571,0.0103,0.8235,0.9231,0.0,2.0969,1.1461,1.0792,-0.1429,-0.2015,0.2901,Bumps,A300
789,797,1002562,1002587,34,11,9,3553,123,141,1358,50,0.9377,0.2361,0.8889,0.0059,0.7273,1.0,0.0,1.5315,0.9031,0.9542,-0.1111,0.0043,0.1773,Stains,A400
41,194,4373092,4373158,5702,182,108,601643,47,127,1402,40,0.0604,0.3431,0.3512,0.1106,0.8461,0.4746,0.0,3.756,2.1903,1.8129,-0.6489,-0.1708,1.0,K_Scatch,A400
39,191,1700639,1700480,11941,696,425,1320194,26,141,1400,40,0.0558,0.6021,0.9942,0.1064,0.2266,0.3511,0.0,4.0376,2.1732,2.2175,-0.0058,-0.097,1.0,K_Scatch,A400
765,774,6571361,6571375,59,9,12,6682,77,133,1360,100,0.3613,0.3571,0.28,0.0052,0.7778,1.0,1.0,1.7708,0.8451,1.0792,0.72,-0.1522,0.1892,Pastry,A400
39,212,1445593,1445656,6525,263,143,686356,42,124,1356,40,0.0602,0.4563,0.3974,0.1276,0.6387,0.4545,0.0,3.8146,2.238,1.7924,-0.6026,-0.1902,1.0,K_Scatch,A400
1277,1288,933641,933629,55,12,19,5577,89,124,1353,180,0.4586,0.24,0.5385,0.0081,0.9167,1.0,1.0,1.7404,1.0414,1.2787,0.4615,-0.2338,0.1965,Bumps,A400
39,216,1445593,1445656,6430,247,124,654358,36,124,1358,40,0.0574,0.5253,0.3846,0.1303,0.7172,0.5245,0.0,3.8049,2.248,1.8389,-0.6154,-0.1865,1.0,K_Scatch,A400
41,182,2290146,2290212,3811,175,96,427024,65,127,1360,40,0.0604,0.3972,0.3837,0.1047,0.7472,0.4963,0.0,3.5884,2.1523,1.7993,-0.6163,-0.1883,1.0,K_Scatch,A400
1677,1686,1319063,1319076,91,10,15,5608,57,95,1692,70,0.0024,0.3583,0.6667,0.0047,0.8,1.0,1.0,1.959,0.9031,1.1761,0.3333,-0.3868,0.266,Pastry,A300
973,983,9741455,9741476,111,13,13,11890,82,118,1364,80,0.8331,0.3235,0.9167,0.0081,0.8461,0.9231,0.0,2.0453,1.0414,1.0792,-0.0833,-0.2455,0.2583,Bumps,A300
21,39,294032,294036,211,26,28,21326,92,118,1356,70,0.0222,0.3554,0.4286,0.0096,0.5385,1.0,1.0,2.3243,1.1139,1.4472,0.5714,-0.176,0.6514,Z_Scratch,A300
1563,1587,983776,983827,744,99,60,86830,77,111,1698,90,0.1237,0.4946,0.5714,0.0199,0.3636,0.8,1.0,2.8716,1.5185,1.7708,0.4286,-0.2362,0.9998,Pastry,A400
41,191,1228221,1228359,10743,639,388,1084425,33,141,1400,40,0.0586,0.5815,0.8409,0.1077,0.2459,0.4471,1.0,4.0366,2.179,2.2304,0.1591,-0.1077,1.0,K_Scatch,A400
43,198,2627229,2627391,5877,188,106,645839,45,124,1358,40,0.0633,0.5849,0.6316,0.1156,0.7707,0.5391,0.0,3.7646,2.1959,1.7708,-0.3684,-0.1941,1.0,K_Scatch,A400
118,134,810184,810291,145,38,35,19189,102,141,1356,70,0.1856,0.4267,0.7143,0.0118,0.4211,0.9714,1.0,2.1614,1.2041,1.5315,0.2857,-0.0508,0.6268,Z_Scratch,A300
1245,1254,2093622,2093633,93,15,11,10797,101,135,1362,70,0.5521,0.3636,0.9167,0.0088,0.8,1.0,0.0,1.9685,1.0792,1.0414,-0.0833,-0.0615,0.2432,Bumps,A300
498,509,1164921,1164931,112,20,28,12693,106,127,1354,40,0.6773,0.5625,0.25,0.0066,0.5,1.0,1.0,2.0492,0.9542,1.4472,0.75,-0.0881,0.3197,Dirtiness,A300
39,216,2598874,2598935,6763,263,135,706929,38,124,1358,40,0.0574,0.4403,0.3841,0.1303,0.673,0.4963,0.0,3.8301,2.248,1.8261,-0.6159,-0.1867,1.0,K_Scatch,A400
1625,1634,1589161,1589168,59,16,12,4834,81,109,1692,70,0.0531,0.4267,0.8333,0.0059,0.625,1.0,1.0,1.7708,1.0,1.0792,0.1667,-0.2774,0.2288,Bumps,A300
1036,1051,818584,818589,114,15,15,11430,67,127,1690,70,0.4686,0.2083,0.5333,0.0083,0.7333,1.0,1.0,2.0569,1.1461,1.1761,0.4667,-0.1984,0.2288,Bumps,A300
974,980,972370,972388,652,56,52,66181,85,127,1360,40,0.8473,0.6414,0.2632,0.0277,0.7471,0.5652,0.0,2.8122,1.5185,1.6233,-0.7368,-0.1515,0.9985,K_Scatch,A400
119,127,1072387,1072413,68,29,19,8586,118,135,1358,70,0.2485,0.4815,0.6667,0.0131,0.6207,0.9474,0.0,1.8325,1.2553,1.2553,-0.3333,-0.0021,0.215,Z_Scratch,A300
1202,1216,7203465,7203481,124,18,15,15572,84,116,1632,100,0.0619,0.3667,0.9333,0.0096,0.7222,1.0,1.0,2.0934,1.1139,1.1761,0.0667,-0.2279,0.3509,Bumps,A300
39,214,1800044,1800071,6532,276,142,649801,41,119,1356,40,0.0574,0.4129,0.3943,0.1274,0.5273,0.5714,0.0,3.8006,2.238,1.8195,-0.6057,-0.1919,1.0,K_Scatch,A400
5,13,639361,639376,105,21,13,10685,90,111,1358,70,0.0205,0.3566,0.6923,0.0053,0.4286,1.0,1.0,2.0212,0.9542,1.1139,0.3077,-0.2268,0.2253,Z_Scratch,A300
1427,1455,1095698,1095703,18,14,5,2274,117,141,1652,50,0.2312,0.4667,0.8333,0.0073,0.8571,0.8,0.0,1.2553,1.0792,0.699,-0.1667,-0.0071,0.1449,Dirtiness,A300
791,833,71768,71798,81,26,6,9778,93,129,1692,143,0.972,0.5702,0.4348,0.0136,0.9583,0.8333,0.0,1.9085,1.3617,1.0,-0.5652,-0.1212,0.3819,Bumps,A300
39,181,203975,203987,150,178,41,16920,41,126,1356,40,0.0544,0.4556,0.3438,0.0975,0.8298,0.5191,0.0,2.1761,2.1271,1.4314,-0.6563,-0.1861,1.0,K_Scatch,A400
1160,1171,1789332,1789337,110,12,12,11425,73,126,1354,40,0.3348,0.2857,0.9167,0.0088,1.0,1.0,0.0,2.0414,1.0792,1.0792,-0.0833,-0.2051,0.2432,Bumps,A400
39,216,1473977,1474044,7017,275,134,723789,36,124,1358,40,0.0574,0.4417,0.3785,0.1303,0.673,0.5285,0.0,3.8461,2.248,1.8261,-0.6215,-0.1942,1.0,K_Scatch,A400
